time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010448300000	20.2912	13.3286	4.81693	1.77582	0.72842	lidar	2.78122	20.1943	13.1688	20.2122	13.2738	-0.545298	4.78918
1477010448350000	19.9324	13.5745	4.5245	1.68573	0.440426	radar	0.192625	19.858	13.5236	20.1818	13.5129	-0.673135	4.77072
1477010448400000	20.2535	13.8335	4.89686	1.78937	0.619265	lidar	0.707733	20.3245	13.8896	20.1449	13.7509	-0.800753	4.74892
1477010448450000	19.9434	13.9099	4.36476	1.72916	0.498874	radar	1.07105	20.3387	13.5307	20.1017	13.9878	-0.928043	4.72374
1477010448500000	20.1279	14.3175	4.93204	1.85374	0.623083	lidar	0.0315453	20.1216	14.337	20.0521	14.2233	-1.0549	4.69521
1477010448550000	19.8307	14.3592	4.39737	1.78606	0.502022	radar	0.175554	19.6717	14.4038	19.9962	14.4573	-1.18121	4.66331
1477010448600000	19.8762	14.774	4.97106	1.99032	0.756879	lidar	0.828033	19.781	14.773	19.934	14.6897	-1.30687	4.62805
1477010448650000	19.8319	14.6334	4.19881	1.7948	0.440062	radar	1.32781	20.1149	14.0165	19.8655	14.9202	-1.43177	4.58944
1477010448700000	19.8416	15.225	4.83498	1.9345	0.522182	lidar	2.8987	20.0208	15.2053	19.7908	15.1486	-1.55581	4.54751
1477010448750000	19.6728	15.0586	4.15772	1.95637	0.812715	radar	8.96274	20.0157	15.3443	19.7099	15.3749	-1.67887	4.50226
1477010448800000	19.7829	15.6306	4.62942	1.90961	0.385957	lidar	1.86109	19.9131	15.554	19.6229	15.5989	-1.80085	4.45372
1477010448850000	19.6262	15.3286	3.96586	1.97406	0.685069	radar	1.04174	19.9388	15.0864	19.5298	15.8203	-1.92164	4.40193
1477010448900000	19.5469	16.0348	4.63518	2.00786	0.492569	lidar	0.526882	19.4748	16.0098	19.4307	16.039	-2.04114	4.3469
1477010448950000	19.4369	15.7468	4.03799	2.00102	0.532472	radar	1.40959	19.1556	16.0022	19.3257	16.2549	-2.15925	4.28868
1477010449000000	19.2842	16.3699	4.51281	2.11989	0.605558	lidar	0.975494	19.238	16.2719	19.2148	16.4679	-2.27586	4.22731
1477010449050000	19.2602	16.1245	4.05447	2.06502	0.573843	radar	0.64296	19.4007	16.2962	19.0981	16.6777	-2.39087	4.16284
1477010449100000	19.0254	16.7829	4.61587	2.17654	0.597039	lidar	0.26956	19.0029	16.8387	18.9757	16.8841	-2.50418	4.0953
1477010449150000	18.9119	16.6615	4.339	2.21584	0.830665	radar	9.40258	18.8373	17.7112	18.8477	17.0872	-2.61571	4.02476
1477010449200000	18.6979	17.2443	4.89422	2.23663	0.592882	lidar	1.94268	18.6148	17.3832	18.7142	17.2866	-2.72534	3.95127
1477010449250000	18.7919	16.9486	4.06498	2.16495	0.459099	radar	5.54115	18.8177	17.0316	18.5752	17.4822	-2.83299	3.87489
1477010449300000	18.2464	17.5729	5.00984	2.40393	0.782886	lidar	1.87822	18.1023	17.5529	18.4309	17.674	-2.93858	3.79568
1477010449350000	18.5119	17.3409	4.16169	2.1909	0.373316	radar	0.548216	18.2749	17.4877	18.2814	17.8617	-3.042	3.71372
1477010449400000	18.0364	17.984	4.89211	2.33948	0.531788	lidar	3.06602	18.2094	18.0461	18.1268	18.0453	-3.14318	3.62906
1477010449450000	18.2645	17.6056	4.07416	2.28842	0.573084	radar	1.81458	18.3021	17.498	17.9671	18.2246	-3.24204	3.5418
1477010449500000	17.782	18.2886	4.66152	2.35983	0.47671	lidar	1.45848	17.9018	18.2183	17.8026	18.3994	-3.3385	3.45199
1477010449550000	18.1064	17.8971	3.98932	2.31444	0.532497	radar	6.3581	18.8558	18.1364	17.6334	18.5697	-3.43247	3.35973
1477010449600000	17.4232	18.6475	4.77758	2.3984	0.459604	lidar	0.349495	17.3845	18.7039	17.4595	18.7353	-3.5239	3.26509
1477010449650000	17.8143	18.161	3.98939	2.39695	0.621813	radar	0.431464	17.7945	18.0801	17.281	18.8962	-3.61271	3.16817
1477010449700000	17.1125	18.9324	4.64254	2.4353	0.444386	lidar	0.461554	17.1762	18.8863	17.0983	19.0521	-3.69883	3.06904
1477010449750000	17.3781	18.6367	4.26861	2.43945	0.559336	radar	5.78219	16.9398	19.7311	16.9113	19.203	-3.78221	2.9678
1477010449800000	16.6639	19.1346	4.66738	2.57634	0.616411	lidar	1.36228	16.5734	19.052	16.7201	19.3488	-3.86278	2.86455
1477010449850000	16.8407	19.1287	4.63053	2.51216	0.606266	radar	5.25983	16.1674	20.2201	16.5251	19.4894	-3.9405	2.75938
1477010449900000	16.2644	19.4845	4.84484	2.56919	0.490887	lidar	1.49517	16.2338	19.6171	16.3262	19.6246	-4.01531	2.65237
1477010449950000	16.5168	19.2094	4.44691	2.61358	0.698762	radar	8.10464	16.4366	18.2742	16.1237	19.7545	-4.08716	2.54364
1477010450000000	15.8923	19.8036	4.86332	2.55857	0.384076	lidar	0.501202	15.9243	19.8703	15.9176	19.8789	-4.15602	2.43329
1477010450050000	16.2036	19.3947	4.27454	2.6242	0.498088	radar	2.27978	16.2328	19.2166	15.7082	19.9978	-4.22185	2.32141
1477010450100000	15.4687	20.1177	4.97644	2.56835	0.332195	lidar	0.437971	15.4332	20.1836	15.4956	20.111	-4.28461	2.2081
1477010450150000	15.5184	19.9245	4.78195	2.64155	0.418813	radar	9.51407	14.3677	21.3406	15.2799	20.2185	-4.34427	2.09347
1477010450200000	15.1196	20.4166	4.8766	2.54919	0.239153	lidar	0.614092	15.2016	20.4385	15.0613	20.3203	-4.4008	1.97763
1477010450250000	15.0594	20.1145	4.79076	2.70971	0.483146	radar	1.44607	14.7476	19.9571	14.84	20.4162	-4.4542	1.86068
1477010450300000	14.6895	20.6438	4.87797	2.60705	0.299743	lidar	0.163176	14.6665	20.6088	14.6161	20.5063	-4.50443	1.74272
1477010450350000	14.4538	20.43	5.04472	2.76957	0.538673	radar	1.89283	13.841	21.0031	14.3897	20.5904	-4.55149	1.62386
1477010450400000	14.159	20.7307	4.91303	2.7767	0.549596	lidar	2.82612	14.0521	20.5924	14.1611	20.6686	-4.59537	1.50421
1477010450450000	13.9353	20.6362	5.12167	2.83414	0.58579	radar	0.384449	13.8232	20.859	13.9304	20.7408	-4.63606	1.38386
1477010450500000	13.5935	20.7988	5.04944	2.92882	0.721639	lidar	1.82145	13.4686	20.7253	13.6977	20.807	-4.67357	1.26294
1477010450550000	13.5167	20.6883	5.03462	2.93703	0.725611	radar	1.24223	13.8263	20.4261	13.4632	20.8671	-4.70789	1.14153
1477010450600000	13.1008	20.858	5.02295	3.021	0.758509	lidar	0.0749711	13.1072	20.8294	13.2271	20.9211	-4.73904	1.01975
1477010450650000	13.0559	20.8188	4.98517	2.98288	0.655392	radar	2.21353	13.2669	21.1579	12.9895	20.969	-4.76702	0.897694
1477010450700000	12.7168	20.9887	4.79012	3.01283	0.613736	lidar	2.36744	12.8729	21.0592	12.7506	21.0108	-4.79186	0.775469
1477010450750000	12.3395	21.0457	5.28531	3.01743	0.594618	radar	2.78127	11.5171	21.6724	12.5106	21.0465	-4.81358	0.653175
1477010450800000	12.23	21.0728	4.84091	3.04841	0.566365	lidar	0.163338	12.2062	21.11	12.2695	21.0761	-4.83219	0.530912
1477010450850000	11.9123	21.072	5.17074	3.08044	0.605623	radar	1.20737	12.3859	21.1066	12.0276	21.0996	-4.84773	0.408778
1477010450900000	11.719	20.9801	4.88359	3.19986	0.736058	lidar	1.33449	11.6814	20.8651	11.785	21.117	-4.86022	0.286869
1477010450950000	11.4467	21.0304	5.0898	3.15073	0.608663	radar	1.08328	11.5265	20.6748	11.5418	21.1283	-4.86971	0.165281
1477010451000000	11.2878	21.0041	4.75583	3.2193	0.641238	lidar	0.811334	11.363	21.0688	11.2982	21.1335	-4.87623	0.0441057
1477010451050000	10.8936	20.9769	5.12281	3.21569	0.598225	radar	3.48406	10.5558	20.5567	11.0544	21.1327	-4.87982	-0.076565
1477010451100000	10.8474	20.9391	4.68291	3.29369	0.660845	lidar	0.150429	10.8903	20.927	10.8105	21.1259	-4.88053	-0.196643
1477010451150000	10.1518	21.0764	5.34795	3.19695	0.40009	radar	3.57612	9.30535	21.3896	10.5666	21.1131	-4.8784	-0.31604
1477010451200000	10.3064	21.0364	4.85032	3.21613	0.401342	lidar	3.77851	10.189	21.209	10.3229	21.0943	-4.87349	-0.434674
1477010451250000	9.67748	21.0457	5.29062	3.24505	0.431031	radar	1.5811	9.97958	21.2932	10.0795	21.0697	-4.86585	-0.552463
1477010451300000	9.89542	20.9836	4.67764	3.26613	0.419935	lidar	0.760992	9.99634	20.9797	9.83658	21.0391	-4.85554	-0.669327
1477010451350000	9.17551	21.0227	5.23124	3.24514	0.29847	radar	1.24534	9.38223	21.111	9.59422	21.0028	-4.84262	-0.785189
1477010451400000	9.47813	20.8946	4.57727	3.3278	0.455418	lidar	0.312595	9.53921	20.8762	9.35258	20.9607	-4.82714	-0.899977
1477010451450000	8.86392	20.8963	4.99954	3.32031	0.402547	radar	3.35727	9.63392	20.9724	9.11177	20.9128	-4.80919	-1.01362
1477010451500000	8.89976	20.8161	4.90978	3.34637	0.404935	lidar	2.89066	8.70331	20.8221	8.87192	20.8594	-4.78881	-1.12605
1477010451550000	8.71943	20.6342	4.60424	3.42462	0.496996	radar	5.13575	9.84634	20.009	8.63315	20.8003	-4.76608	-1.2372
1477010451600000	8.34726	20.5961	5.15867	3.4595	0.53247	lidar	2.2325	8.22277	20.4839	8.39557	20.7358	-4.74108	-1.34701
1477010451650000	8.26244	20.4913	4.68833	3.48967	0.557876	radar	0.298734	8.29647	20.4978	8.1593	20.6657	-4.71387	-1.45542
1477010451700000	7.87298	20.4365	5.13104	3.50449	0.518094	lidar	0.0279815	7.88599	20.45	7.92445	20.5903	-4.68453	-1.56237
1477010451750000	7.9036	20.3219	4.67943	3.57791	0.661798	radar	3.1632	8.29081	20.6565	7.69111	20.5096	-4.65313	-1.66781
1477010451800000	7.30445	20.3289	5.29967	3.47531	0.369908	lidar	1.63843	7.18029	20.392	7.45939	20.4237	-4.61975	-1.7717
1477010451850000	7.40305	20.1422	4.72776	3.61497	0.596185	radar	0.603737	7.09214	20.1196	7.22939	20.3326	-4.58448	-1.87399
1477010451900000	6.81102	20.1672	5.28171	3.49884	0.345725	lidar	0.0330427	6.81542	20.1859	7.00119	20.2364	-4.54738	-1.97462
1477010451950000	6.95268	19.9632	4.72528	3.64288	0.528161	radar	0.534483	6.89359	20.1536	6.7749	20.1352	-4.50854	-2.07357
1477010452000000	6.34891	19.9924	5.20375	3.52817	0.336669	lidar	0.154735	6.38914	20.0137	6.55059	20.0292	-4.46805	-2.17079
1477010452050000	6.55051	19.7807	4.71242	3.68112	0.510843	radar	2.46486	6.67637	20.2142	6.32834	19.9183	-4.42598	-2.26625
1477010452100000	5.86665	19.8111	5.19983	3.54579	0.307383	lidar	0.0387418	5.86119	19.8306	6.10823	19.8027	-4.38241	-2.35993
1477010452150000	5.95542	19.5523	4.99682	3.71376	0.538022	radar	2.53736	5.28178	19.5036	5.89034	19.6824	-4.33744	-2.45178
1477010452200000	5.52035	19.575	4.92884	3.62696	0.401292	lidar	2.24202	5.69089	19.5755	5.67472	19.5577	-4.29114	-2.5418
1477010452250000	5.65985	19.2291	4.85802	3.79727	0.55475	radar	0.759201	5.9506	18.9859	5.46145	19.4284	-4.24359	-2.62995
1477010452300000	5.12058	19.385	4.8109	3.64495	0.362002	lidar	0.419792	5.17021	19.4397	5.25059	19.2948	-4.19488	-2.71622
1477010452350000	5.41019	18.9717	4.58142	3.83951	0.472316	radar	3.99609	5.87397	19.301	5.04219	19.157	-4.1451	-2.80059
1477010452400000	4.79224	19.0581	4.72015	3.768	0.521082	lidar	1.37441	4.89149	18.982	4.8363	19.015	-4.09432	-2.88305
1477010452450000	4.75691	18.758	4.96055	3.80662	0.421626	radar	3.10093	3.98679	19.0452	4.63297	18.8689	-4.04263	-2.96359
1477010452500000	4.43792	18.8001	4.64488	3.81005	0.504049	lidar	0.156891	4.4685	18.834	4.43224	18.7188	-3.99012	-3.0422
